,mode,randmode,level_2,#contacts,#contacts(>4),#contacts(<=4),#rfrags,#rfrags(>4),#rfrags(<=4),max_count,mean_count,median_count,95percentile_count,exp
0,junctions,real,0,202940,1529,201411,198958,41,198917,389,1.020014274369465,1.0,1.0,NXT-461
1,junctions+hops,real,0,941740,3022,938718,878615,172,878443,420,1.0718460304001183,1.0,2.0,NXT-461
2,random_0,random,0,202940,416,202524,199545,23,199522,84,1.017013706181563,1.0,1.0,NXT-461
3,random_1,random,0,202940,432,202508,199534,25,199509,84,1.0170697725700883,1.0,1.0,NXT-461
4,random_2,random,0,202940,413,202527,199487,25,199462,105,1.017309398607428,1.0,1.0,NXT-461
5,random_3,random,0,202940,464,202476,199477,29,199448,94,1.0173603974393037,1.0,1.0,NXT-461
6,random_4,random,0,202940,453,202487,199491,26,199465,85,1.0172890005062885,1.0,1.0,NXT-461
7,random_5,random,0,202940,451,202489,199513,23,199490,87,1.0171768255702636,1.0,1.0,NXT-461
8,random_6,random,0,202940,471,202469,199565,28,199537,88,1.016911783128304,1.0,1.0,NXT-461
9,random_7,random,0,202940,413,202527,199623,24,199599,81,1.0166163217665298,1.0,1.0,NXT-461
10,random_8,random,0,202940,399,202541,199629,27,199602,96,1.0165857665970375,1.0,1.0,NXT-461
11,random_9,random,0,202940,436,202504,199591,27,199564,88,1.0167793136965093,1.0,1.0,NXT-461
0,junctions,real,0,173264,1263,172001,170244,35,170209,330,1.0177392448485703,1.0,1.0,NXT-464
1,junctions+hops,real,0,828800,2466,826334,778578,137,778441,354,1.0645047766569309,1.0,2.0,NXT-464
2,random_0,random,0,173264,378,172886,170646,22,170624,82,1.0153417015341701,1.0,1.0,NXT-464
3,random_1,random,0,173264,357,172907,170613,22,170591,67,1.015538089125682,1.0,1.0,NXT-464
4,random_2,random,0,173264,355,172909,170732,21,170711,79,1.0148302602909824,1.0,1.0,NXT-464
5,random_3,random,0,173264,336,172928,170627,24,170603,66,1.0154547639002034,1.0,1.0,NXT-464
6,random_4,random,0,173264,350,172914,170654,23,170631,62,1.0152941038592709,1.0,1.0,NXT-464
7,random_5,random,0,173264,361,172903,170665,21,170644,84,1.0152286643424253,1.0,1.0,NXT-464
8,random_6,random,0,173264,359,172905,170816,23,170793,81,1.0143312101910829,1.0,1.0,NXT-464
9,random_7,random,0,173264,350,172914,170710,20,170690,83,1.014961045047156,1.0,1.0,NXT-464
10,random_8,random,0,173264,354,172910,170728,20,170708,61,1.0148540368305141,1.0,1.0,NXT-464
11,random_9,random,0,173264,348,172916,170665,21,170644,68,1.0152286643424253,1.0,1.0,NXT-464
0,junctions,real,0,167652,1247,166405,164736,33,164703,336,1.017701048951049,1.0,1.0,NXT-465
1,junctions+hops,real,0,806104,2440,803664,758351,131,758220,361,1.0629695220287176,1.0,2.0,NXT-465
2,random_0,random,0,167652,394,167258,165224,22,165202,77,1.0146952016656177,1.0,1.0,NXT-465
3,random_1,random,0,167652,352,167300,165199,22,165177,79,1.0148487581643957,1.0,1.0,NXT-465
4,random_2,random,0,167652,354,167298,165214,24,165190,79,1.0147566186884889,1.0,1.0,NXT-465
5,random_3,random,0,167652,357,167295,165178,23,165155,72,1.0149777815447578,1.0,1.0,NXT-465
6,random_4,random,0,167652,356,167296,165198,21,165177,77,1.014854901391058,1.0,1.0,NXT-465
7,random_5,random,0,167652,374,167278,165204,20,165184,95,1.0148180431466551,1.0,1.0,NXT-465
8,random_6,random,0,167652,364,167288,165130,19,165111,90,1.015272815357597,1.0,1.0,NXT-465
9,random_7,random,0,167652,324,167328,165258,20,165238,54,1.0144864393856878,1.0,1.0,NXT-465
10,random_8,random,0,167652,342,167310,165167,19,165148,80,1.01504537831407,1.0,1.0,NXT-465
11,random_9,random,0,167652,346,167306,165292,22,165270,80,1.0142777629891344,1.0,1.0,NXT-465
0,junctions,real,0,150426,1115,149311,147983,30,147953,302,1.016508653020955,1.0,1.0,NXT-466
1,junctions+hops,real,0,709608,2178,707430,669102,116,668986,324,1.0605378552149,1.0,2.0,NXT-466
2,random_0,random,0,150426,322,150104,148228,22,148206,73,1.0148285074344927,1.0,1.0,NXT-466
3,random_1,random,0,150426,334,150092,148217,22,148195,78,1.0149038234480525,1.0,1.0,NXT-466
4,random_2,random,0,150426,305,150121,148242,22,148220,53,1.014732666855547,1.0,1.0,NXT-466
5,random_3,random,0,150426,300,150126,148326,18,148308,64,1.0141580033170179,1.0,1.0,NXT-466
6,random_4,random,0,150426,294,150132,148301,17,148284,69,1.0143289660892374,1.0,1.0,NXT-466
7,random_5,random,0,150426,315,150111,148230,21,148209,65,1.0148148148148148,1.0,1.0,NXT-466
8,random_6,random,0,150426,326,150100,148222,21,148201,73,1.014869587510626,1.0,1.0,NXT-466
9,random_7,random,0,150426,317,150109,148260,21,148239,69,1.014609469850263,1.0,1.0,NXT-466
