ch	bin	state
chr3R	0	neutral
chr3R	1	neutral
chr3R	2	neutral
chr3R	3	neutral
chr3R	4	neutral
chr3R	5	active
chr3R	6	neutral
chr3R	7	neutral
chr3R	8	neutral
chr3R	9	neutral
chr3R	10	neutral
chr3R	11	neutral
chr3R	12	neutral
chr3R	13	active
chr3R	14	active
chr3R	15	active
chr3R	16	active
chr3R	17	inactive
chr3R	18	neutral
chr3R	19	neutral
chr3R	20	neutral
chr3R	21	active
chr3R	22	active
chr3R	23	active
chr3R	24	neutral
chr3R	25	active
chr3R	26	active
chr3R	27	neutral
chr3R	28	neutral
chr3R	29	neutral
chr3R	30	neutral
chr3R	31	inactive
chr3R	32	neutral
chr3R	33	inactive
chr3R	34	inactive
chr3R	35	neutral
chr3R	36	neutral
chr3R	37	neutral
chr3R	38	neutral
chr3R	39	neutral
chr3R	40	neutral
chr3R	41	neutral
chr3R	42	neutral
chr3R	43	neutral
chr3R	44	inactive
chr3R	45	inactive
chr3R	46	active
chr3R	47	active
chr3R	48	neutral
chr3R	49	neutral
chr3R	50	neutral
chr3R	51	neutral
chr3R	52	active
chr3R	53	neutral
chr3R	54	inactive
chr3R	55	inactive
chr3R	56	active
chr3R	57	neutral
chr3R	58	inactive
chr3R	59	inactive
chr3R	60	neutral
chr3R	61	active
chr3R	62	active
chr3R	63	neutral
chr3R	64	active
chr3R	65	polycomb
chr3R	66	polycomb
chr3R	67	polycomb
chr3R	68	polycomb
chr3R	69	polycomb
chr3R	70	polycomb
chr3R	71	neutral
chr3R	72	polycomb
chr3R	73	active
chr3R	74	active
chr3R	75	active
chr3R	76	active
chr3R	77	active
chr3R	78	neutral
chr3R	79	neutral
chr3R	80	neutral
chr3R	81	neutral
chr3R	82	neutral
chr3R	83	neutral
chr3R	84	neutral
chr3R	85	neutral
chr3R	86	neutral
chr3R	87	neutral
chr3R	88	neutral
chr3R	89	neutral
chr3R	90	neutral
chr3R	91	neutral
chr3R	92	neutral
chr3R	93	neutral
chr3R	94	neutral
chr3R	95	neutral
chr3R	96	inactive
chr3R	97	inactive
chr3R	98	inactive
chr3R	99	active
chr3R	100	active
chr3R	101	active
chr3R	102	active
chr3R	103	neutral
chr3R	104	active
chr3R	105	active
chr3R	106	neutral
chr3R	107	neutral
chr3R	108	neutral
chr3R	109	active
chr3R	110	neutral
chr3R	111	active
chr3R	112	active
chr3R	113	neutral
chr3R	114	neutral
chr3R	115	neutral
chr3R	116	neutral
chr3R	117	inactive
chr3R	118	active
chr3R	119	neutral
chr3R	120	inactive
chr3R	121	inactive
chr3R	122	active
chr3R	123	inactive
chr3R	124	inactive
chr3R	125	inactive
chr3R	126	inactive
chr3R	127	inactive
chr3R	128	active
chr3R	129	active
