ch	bin	state
chr3L	0	neutral
chr3L	1	neutral
chr3L	2	active
chr3L	3	neutral
chr3L	4	neutral
chr3L	5	neutral
chr3L	6	neutral
chr3L	7	neutral
chr3L	8	neutral
chr3L	9	neutral
chr3L	10	neutral
chr3L	11	neutral
chr3L	12	neutral
chr3L	13	neutral
chr3L	14	active
chr3L	15	neutral
chr3L	16	neutral
chr3L	17	active
chr3L	18	active
chr3L	19	active
chr3L	20	active
chr3L	21	active
chr3L	22	active
chr3L	23	active
chr3L	24	active
chr3L	25	active
chr3L	26	active
chr3L	27	neutral
chr3L	28	inactive
chr3L	29	neutral
chr3L	30	active
chr3L	31	neutral
chr3L	32	active
chr3L	33	neutral
chr3L	34	neutral
chr3L	35	active
chr3L	36	active
chr3L	37	polycomb
chr3L	38	polycomb
chr3L	39	polycomb
chr3L	40	polycomb
chr3L	41	polycomb
chr3L	42	polycomb
chr3L	43	neutral
chr3L	44	neutral
chr3L	45	neutral
chr3L	46	neutral
chr3L	47	neutral
chr3L	48	neutral
chr3L	49	neutral
chr3L	50	neutral
chr3L	51	neutral
chr3L	52	neutral
chr3L	53	neutral
chr3L	54	neutral
chr3L	55	neutral
chr3L	56	neutral
chr3L	57	active
chr3L	58	polycomb
chr3L	59	active
chr3L	60	neutral
chr3L	61	neutral
chr3L	62	neutral
chr3L	63	neutral
chr3L	64	neutral
chr3L	65	active
chr3L	66	inactive
chr3L	67	inactive
chr3L	68	active
chr3L	69	neutral
chr3L	70	neutral
chr3L	71	neutral
chr3L	72	neutral
chr3L	73	neutral
chr3L	74	neutral
chr3L	75	neutral
chr3L	76	neutral
chr3L	77	neutral
chr3L	78	neutral
chr3L	79	neutral
chr3L	80	neutral
chr3L	81	neutral
chr3L	82	neutral
chr3L	83	active
chr3L	84	active
chr3L	85	inactive
chr3L	86	inactive
chr3L	87	active
chr3L	88	neutral
chr3L	89	active
chr3L	90	inactive
chr3L	91	neutral
chr3L	92	inactive
chr3L	93	inactive
chr3L	94	inactive
chr3L	95	inactive
chr3L	96	inactive
chr3L	97	inactive
chr3L	98	inactive
chr3L	99	inactive
chr3L	100	neutral
chr3L	101	neutral
chr3L	102	active
chr3L	103	neutral
chr3L	104	neutral
chr3L	105	neutral
chr3L	106	neutral
chr3L	107	neutral
chr3L	108	neutral
chr3L	109	neutral
chr3L	110	polycomb
chr3L	111	neutral
chr3L	112	neutral
chr3L	113	neutral
chr3L	114	neutral
chr3L	115	neutral
chr3L	116	neutral
chr3L	117	neutral
chr3L	118	polycomb
chr3L	119	inactive
chr3L	120	inactive
chr3L	121	inactive
chr3L	122	inactive
chr3L	123	inactive
chr3L	124	active
chr3L	125	inactive
chr3L	126	inactive
chr3L	127	inactive
chr3L	128	neutral
chr3L	129	neutral
chr3L	130	active
chr3L	131	active
chr3L	132	neutral
chr3L	133	active
chr3L	134	active
chr3L	135	inactive
chr3L	136	neutral
chr3L	137	neutral
chr3L	138	inactive
chr3L	139	inactive
chr3L	140	inactive
chr3L	141	inactive
chr3L	142	inactive
chr3L	143	inactive
chr3L	144	inactive
chr3L	145	inactive
chr3L	146	neutral
chr3L	147	inactive
chr3L	148	inactive
chr3L	149	active
chr3L	150	active
chr3L	151	active
chr3L	152	active
chr3L	153	active
chr3L	154	active
chr3L	155	active
chr3L	156	active
chr3L	157	active
chr3L	158	neutral
chr3L	159	active
chr3L	160	inactive
chr3L	161	inactive
chr3L	162	neutral
chr3L	163	neutral
chr3L	164	active
chr3L	165	active
chr3L	166	active
chr3L	167	inactive
chr3L	168	neutral
chr3L	169	neutral
chr3L	170	neutral
chr3L	171	active
chr3L	172	neutral
chr3L	173	neutral
chr3L	174	active
chr3L	175	active
chr3L	176	neutral
chr3L	177	active
chr3L	178	active
chr3L	179	active
chr3L	180	active
chr3L	181	inactive
chr3L	182	inactive
chr3L	183	inactive
chr3L	184	inactive
chr3L	185	inactive
chr3L	186	active
chr3L	187	active
chr3L	188	inactive
chr3L	189	inactive
chr3L	190	inactive
chr3L	191	inactive
chr3L	192	inactive
chr3L	193	inactive
chr3L	194	active
chr3L	195	active
chr3L	196	active
chr3L	197	inactive
chr3L	198	neutral
chr3L	199	neutral
chr3L	200	neutral
chr3L	201	neutral
chr3L	202	neutral
chr3L	203	neutral
chr3L	204	neutral
chr3L	205	neutral
chr3L	206	neutral
chr3L	207	neutral
chr3L	208	neutral
chr3L	209	neutral
chr3L	210	neutral
chr3L	211	neutral
chr3L	212	neutral
chr3L	213	neutral
chr3L	214	inactive
chr3L	215	active
chr3L	216	neutral
chr3L	217	inactive
chr3L	218	inactive
chr3L	219	neutral
chr3L	220	neutral
chr3L	221	neutral
chr3L	222	neutral
chr3L	223	neutral
chr3L	224	neutral
chr3L	225	active
chr3L	226	active
chr3L	227	neutral
chr3L	228	neutral
chr3L	229	neutral
chr3L	230	neutral
chr3L	231	neutral
chr3L	232	neutral
chr3L	233	neutral
chr3L	234	neutral
chr3L	235	neutral
chr3L	236	inactive
chr3L	237	active
chr3L	238	neutral
chr3L	239	neutral
chr3L	240	active
chr3L	241	neutral
chr3L	242	neutral
chr3L	243	neutral
chr3L	244	active
chr3L	245	active
chr3L	246	neutral
chr3L	247	neutral
chr3L	248	neutral
chr3L	249	neutral
chr3L	250	active
chr3L	251	active
chr3L	252	neutral
chr3L	253	neutral
chr3L	254	neutral
chr3L	255	active
chr3L	256	active
chr3L	257	neutral
chr3L	258	neutral
chr3L	259	active
chr3L	260	inactive
chr3L	261	inactive
chr3L	262	inactive
chr3L	263	neutral
chr3L	264	inactive
chr3L	265	active
chr3L	266	inactive
chr3L	267	inactive
chr3L	268	inactive
chr3L	269	inactive
chr3L	270	neutral
chr3L	271	inactive
chr3L	272	active
chr3L	273	neutral
chr3L	274	neutral
chr3L	275	neutral
chr3L	276	neutral
chr3L	277	active
chr3L	278	active
chr3L	279	neutral
chr3L	280	neutral
chr3L	281	neutral
chr3L	282	neutral
chr3L	283	neutral
chr3L	284	neutral
chr3L	285	neutral
chr3L	286	neutral
chr3L	287	neutral
chr3L	288	neutral
chr3L	289	inactive
chr3L	290	neutral
chr3L	291	neutral
chr3L	292	neutral
chr3L	293	neutral
chr3L	294	neutral
chr3L	295	inactive
chr3L	296	inactive
chr3L	297	inactive
chr3L	298	inactive
chr3L	299	inactive
chr3L	300	inactive
chr3L	301	inactive
chr3L	302	inactive
chr3L	303	inactive
chr3L	304	active
chr3L	305	active
chr3L	306	neutral
chr3L	307	neutral
chr3L	308	neutral
chr3L	309	inactive
chr3L	310	inactive
chr3L	311	active
chr3L	312	neutral
chr3L	313	neutral
chr3L	314	active
chr3L	315	active
chr3L	316	active
chr3L	317	active
chr3L	318	active
chr3L	319	active
chr3L	320	active
chr3L	321	active
chr3L	322	active
chr3L	323	active
chr3L	324	neutral
chr3L	325	inactive
chr3L	326	inactive
chr3L	327	neutral
chr3L	328	inactive
chr3L	329	inactive
chr3L	330	neutral
chr3L	331	active
chr3L	332	active
chr3L	333	active
chr3L	334	neutral
chr3L	335	active
chr3L	336	active
chr3L	337	active
chr3L	338	neutral
chr3L	339	neutral
chr3L	340	neutral
chr3L	341	neutral
chr3L	342	neutral
chr3L	343	neutral
chr3L	344	neutral
chr3L	345	neutral
chr3L	346	active
chr3L	347	neutral
chr3L	348	neutral
chr3L	349	inactive
chr3L	350	inactive
chr3L	351	inactive
chr3L	352	neutral
chr3L	353	neutral
chr3L	354	neutral
chr3L	355	neutral
chr3L	356	neutral
chr3L	357	neutral
chr3L	358	neutral
chr3L	359	neutral
chr3L	360	active
chr3L	361	inactive
chr3L	362	inactive
chr3L	363	inactive
chr3L	364	inactive
chr3L	365	inactive
chr3L	366	inactive
chr3L	367	inactive
chr3L	368	inactive
chr3L	369	inactive
chr3L	370	inactive
chr3L	371	inactive
chr3L	372	neutral
chr3L	373	neutral
chr3L	374	neutral
chr3L	375	neutral
chr3L	376	neutral
chr3L	377	neutral
chr3L	378	neutral
chr3L	379	inactive
chr3L	380	active
chr3L	381	active
chr3L	382	neutral
chr3L	383	active
chr3L	384	polycomb
chr3L	385	polycomb
chr3L	386	inactive
chr3L	387	polycomb
chr3L	388	polycomb
chr3L	389	neutral
chr3L	390	active
chr3L	391	inactive
chr3L	392	neutral
chr3L	393	inactive
chr3L	394	active
chr3L	395	inactive
chr3L	396	neutral
chr3L	397	neutral
chr3L	398	neutral
chr3L	399	neutral
chr3L	400	neutral
chr3L	401	polycomb
chr3L	402	inactive
chr3L	403	inactive
chr3L	404	inactive
chr3L	405	inactive
chr3L	406	neutral
chr3L	407	inactive
chr3L	408	inactive
chr3L	409	neutral
chr3L	410	neutral
chr3L	411	active
chr3L	412	active
chr3L	413	active
chr3L	414	inactive
chr3L	415	inactive
chr3L	416	inactive
chr3L	417	inactive
chr3L	418	neutral
chr3L	419	active
chr3L	420	active
chr3L	421	active
chr3L	422	neutral
chr3L	423	neutral
chr3L	424	active
chr3L	425	active
chr3L	426	inactive
chr3L	427	inactive
chr3L	428	active
chr3L	429	inactive
chr3L	430	inactive
chr3L	431	active
chr3L	432	active
chr3L	433	neutral
chr3L	434	neutral
chr3L	435	neutral
chr3L	436	neutral
chr3L	437	inactive
chr3L	438	inactive
chr3L	439	inactive
chr3L	440	neutral
chr3L	441	inactive
chr3L	442	inactive
chr3L	443	inactive
chr3L	444	inactive
chr3L	445	neutral
chr3L	446	inactive
chr3L	447	inactive
chr3L	448	inactive
chr3L	449	inactive
chr3L	450	inactive
chr3L	451	inactive
chr3L	452	inactive
chr3L	453	inactive
chr3L	454	neutral
chr3L	455	inactive
chr3L	456	inactive
chr3L	457	neutral
chr3L	458	neutral
chr3L	459	neutral
chr3L	460	neutral
chr3L	461	neutral
chr3L	462	neutral
chr3L	463	inactive
chr3L	464	neutral
chr3L	465	neutral
chr3L	466	neutral
chr3L	467	neutral
chr3L	468	inactive
chr3L	469	inactive
chr3L	470	inactive
chr3L	471	inactive
chr3L	472	neutral
chr3L	473	inactive
chr3L	474	inactive
chr3L	475	inactive
chr3L	476	inactive
chr3L	477	neutral
chr3L	478	neutral
chr3L	479	neutral
chr3L	480	inactive
chr3L	481	active
chr3L	482	active
chr3L	483	inactive
chr3L	484	inactive
chr3L	485	neutral
chr3L	486	inactive
chr3L	487	inactive
chr3L	488	inactive
chr3L	489	inactive
chr3L	490	inactive
chr3L	491	neutral
chr3L	492	neutral
chr3L	493	neutral
chr3L	494	neutral
chr3L	495	neutral
chr3L	496	neutral
chr3L	497	neutral
chr3L	498	neutral
chr3L	499	neutral
chr3L	500	neutral
chr3L	501	neutral
chr3L	502	neutral
chr3L	503	neutral
chr3L	504	neutral
chr3L	505	neutral
chr3L	506	inactive
chr3L	507	neutral
chr3L	508	inactive
chr3L	509	inactive
chr3L	510	inactive
chr3L	511	inactive
chr3L	512	inactive
chr3L	513	active
chr3L	514	active
chr3L	515	neutral
chr3L	516	neutral
chr3L	517	neutral
chr3L	518	neutral
chr3L	519	neutral
chr3L	520	neutral
chr3L	521	neutral
chr3L	522	neutral
chr3L	523	neutral
chr3L	524	neutral
chr3L	525	neutral
chr3L	526	neutral
chr3L	527	inactive
chr3L	528	inactive
chr3L	529	inactive
chr3L	530	neutral
chr3L	531	neutral
chr3L	532	neutral
chr3L	533	neutral
chr3L	534	neutral
chr3L	535	active
chr3L	536	neutral
chr3L	537	neutral
chr3L	538	neutral
chr3L	539	neutral
chr3L	540	neutral
chr3L	541	neutral
chr3L	542	neutral
chr3L	543	neutral
chr3L	544	neutral
chr3L	545	neutral
chr3L	546	neutral
chr3L	547	neutral
chr3L	548	neutral
chr3L	549	neutral
chr3L	550	inactive
chr3L	551	neutral
chr3L	552	inactive
chr3L	553	inactive
chr3L	554	neutral
chr3L	555	active
chr3L	556	inactive
chr3L	557	inactive
chr3L	558	inactive
chr3L	559	active
chr3L	560	polycomb
chr3L	561	polycomb
chr3L	562	polycomb
chr3L	563	neutral
chr3L	564	inactive
chr3L	565	neutral
chr3L	566	neutral
chr3L	567	neutral
chr3L	568	neutral
chr3L	569	neutral
chr3L	570	neutral
chr3L	571	neutral
chr3L	572	neutral
chr3L	573	neutral
chr3L	574	active
chr3L	575	active
chr3L	576	active
chr3L	577	active
chr3L	578	active
chr3L	579	active
chr3L	580	neutral
chr3L	581	neutral
chr3L	582	neutral
chr3L	583	neutral
chr3L	584	inactive
chr3L	585	inactive
chr3L	586	inactive
chr3L	587	inactive
chr3L	588	inactive
chr3L	589	inactive
chr3L	590	inactive
chr3L	591	neutral
chr3L	592	active
chr3L	593	neutral
chr3L	594	inactive
chr3L	595	inactive
chr3L	596	neutral
chr3L	597	neutral
chr3L	598	neutral
chr3L	599	inactive
chr3L	600	inactive
chr3L	601	inactive
chr3L	602	inactive
chr3L	603	inactive
chr3L	604	inactive
chr3L	605	inactive
chr3L	606	active
chr3L	607	inactive
chr3L	608	active
chr3L	609	inactive
chr3L	610	inactive
chr3L	611	inactive
chr3L	612	inactive
chr3L	613	inactive
chr3L	614	inactive
chr3L	615	inactive
chr3L	616	active
chr3L	617	active
chr3L	618	active
chr3L	619	active
chr3L	620	active
chr3L	621	inactive
chr3L	622	inactive
chr3L	623	inactive
chr3L	624	inactive
chr3L	625	neutral
chr3L	626	inactive
chr3L	627	inactive
chr3L	628	inactive
chr3L	629	inactive
chr3L	630	inactive
