ch	bin	state
chr2R	0	neutral
chr2R	1	neutral
chr2R	2	neutral
chr2R	3	neutral
chr2R	4	neutral
chr2R	5	neutral
chr2R	6	neutral
chr2R	7	neutral
chr2R	8	neutral
chr2R	9	neutral
chr2R	10	neutral
chr2R	11	neutral
chr2R	12	neutral
chr2R	13	neutral
chr2R	14	neutral
chr2R	15	neutral
chr2R	16	neutral
chr2R	17	neutral
chr2R	18	neutral
chr2R	19	neutral
chr2R	20	neutral
chr2R	21	neutral
chr2R	22	neutral
chr2R	23	neutral
chr2R	24	neutral
chr2R	25	neutral
chr2R	26	neutral
chr2R	27	neutral
chr2R	28	neutral
chr2R	29	neutral
chr2R	30	neutral
chr2R	31	neutral
chr2R	32	neutral
chr2R	33	neutral
chr2R	34	neutral
chr2R	35	neutral
chr2R	36	neutral
chr2R	37	neutral
chr2R	38	neutral
chr2R	39	neutral
chr2R	40	neutral
chr2R	41	neutral
chr2R	42	neutral
chr2R	43	neutral
chr2R	44	neutral
chr2R	45	neutral
chr2R	46	neutral
chr2R	47	neutral
chr2R	48	neutral
chr2R	49	neutral
chr2R	50	neutral
chr2R	51	neutral
chr2R	52	neutral
chr2R	53	neutral
chr2R	54	neutral
chr2R	55	neutral
chr2R	56	neutral
chr2R	57	neutral
chr2R	58	neutral
chr2R	59	neutral
chr2R	60	neutral
chr2R	61	neutral
chr2R	62	neutral
chr2R	63	neutral
chr2R	64	neutral
chr2R	65	neutral
chr2R	66	neutral
chr2R	67	active
chr2R	68	neutral
chr2R	69	neutral
chr2R	70	neutral
chr2R	71	neutral
chr2R	72	neutral
chr2R	73	neutral
chr2R	74	neutral
chr2R	75	neutral
chr2R	76	neutral
chr2R	77	neutral
chr2R	78	neutral
chr2R	79	neutral
chr2R	80	neutral
chr2R	81	neutral
chr2R	82	neutral
chr2R	83	neutral
chr2R	84	neutral
chr2R	85	neutral
chr2R	86	neutral
chr2R	87	neutral
chr2R	88	neutral
chr2R	89	neutral
chr2R	90	neutral
chr2R	91	neutral
chr2R	92	neutral
chr2R	93	neutral
chr2R	94	neutral
chr2R	95	neutral
chr2R	96	neutral
chr2R	97	neutral
chr2R	98	neutral
chr2R	99	neutral
chr2R	100	neutral
chr2R	101	neutral
chr2R	102	neutral
chr2R	103	neutral
chr2R	104	neutral
chr2R	105	neutral
chr2R	106	neutral
chr2R	107	neutral
chr2R	108	neutral
chr2R	109	neutral
chr2R	110	neutral
chr2R	111	neutral
chr2R	112	neutral
chr2R	113	neutral
chr2R	114	neutral
chr2R	115	neutral
chr2R	116	neutral
chr2R	117	neutral
chr2R	118	neutral
chr2R	119	neutral
chr2R	120	neutral
chr2R	121	neutral
chr2R	122	neutral
chr2R	123	neutral
chr2R	124	neutral
chr2R	125	neutral
chr2R	126	neutral
chr2R	127	neutral
chr2R	128	neutral
chr2R	129	neutral
chr2R	130	neutral
chr2R	131	neutral
chr2R	132	neutral
chr2R	133	neutral
chr2R	134	neutral
chr2R	135	neutral
chr2R	136	neutral
chr2R	137	neutral
chr2R	138	neutral
chr2R	139	neutral
chr2R	140	neutral
chr2R	141	neutral
chr2R	142	neutral
chr2R	143	neutral
chr2R	144	neutral
chr2R	145	neutral
chr2R	146	neutral
chr2R	147	neutral
chr2R	148	neutral
chr2R	149	neutral
chr2R	150	neutral
chr2R	151	neutral
chr2R	152	neutral
chr2R	153	neutral
chr2R	154	active
chr2R	155	neutral
chr2R	156	neutral
chr2R	157	neutral
chr2R	158	neutral
chr2R	159	neutral
chr2R	160	polycomb
chr2R	161	polycomb
chr2R	162	polycomb
chr2R	163	polycomb
chr2R	164	active
chr2R	165	active
chr2R	166	active
chr2R	167	neutral
chr2R	168	neutral
chr2R	169	neutral
chr2R	170	neutral
chr2R	171	neutral
chr2R	172	neutral
chr2R	173	neutral
chr2R	174	neutral
chr2R	175	neutral
chr2R	176	neutral
chr2R	177	inactive
chr2R	178	neutral
chr2R	179	neutral
chr2R	180	neutral
chr2R	181	neutral
chr2R	182	neutral
chr2R	183	neutral
chr2R	184	neutral
chr2R	185	neutral
chr2R	186	active
chr2R	187	active
chr2R	188	active
chr2R	189	active
chr2R	190	active
chr2R	191	active
chr2R	192	neutral
chr2R	193	inactive
chr2R	194	inactive
chr2R	195	inactive
chr2R	196	active
chr2R	197	active
chr2R	198	neutral
chr2R	199	neutral
chr2R	200	neutral
chr2R	201	neutral
chr2R	202	neutral
chr2R	203	neutral
chr2R	204	neutral
chr2R	205	neutral
chr2R	206	neutral
chr2R	207	inactive
chr2R	208	inactive
chr2R	209	active
chr2R	210	neutral
chr2R	211	neutral
chr2R	212	neutral
chr2R	213	neutral
chr2R	214	neutral
chr2R	215	neutral
chr2R	216	active
chr2R	217	active
chr2R	218	neutral
chr2R	219	neutral
chr2R	220	neutral
chr2R	221	neutral
chr2R	222	neutral
chr2R	223	neutral
chr2R	224	neutral
chr2R	225	neutral
chr2R	226	neutral
chr2R	227	neutral
chr2R	228	neutral
chr2R	229	neutral
chr2R	230	neutral
chr2R	231	neutral
chr2R	232	neutral
chr2R	233	neutral
chr2R	234	neutral
chr2R	235	neutral
chr2R	236	neutral
chr2R	237	neutral
chr2R	238	neutral
chr2R	239	neutral
chr2R	240	neutral
chr2R	241	neutral
chr2R	242	neutral
chr2R	243	polycomb
chr2R	244	polycomb
chr2R	245	polycomb
chr2R	246	polycomb
chr2R	247	polycomb
chr2R	248	polycomb
chr2R	249	polycomb
chr2R	250	active
chr2R	251	neutral
chr2R	252	active
chr2R	253	neutral
chr2R	254	active
chr2R	255	active
chr2R	256	active
chr2R	257	active
chr2R	258	active
chr2R	259	neutral
chr2R	260	neutral
chr2R	261	inactive
chr2R	262	inactive
chr2R	263	active
chr2R	264	active
chr2R	265	inactive
chr2R	266	neutral
chr2R	267	neutral
chr2R	268	inactive
chr2R	269	active
