ch	bin	state	ntad
chr3L	0	neutral	.
chr3L	1	neutral	.
chr3L	2	neutral	0
chr3L	3	neutral	0
chr3L	4	neutral	0
chr3L	5	neutral	0
chr3L	6	neutral	0
chr3L	7	neutral	0
chr3L	8	neutral	0
chr3L	9	neutral	0
chr3L	10	neutral	0
chr3L	11	neutral	0
chr3L	12	neutral	0
chr3L	13	neutral	0
chr3L	14	active	1
chr3L	15	active	1
chr3L	16	active	1
chr3L	17	active	1
chr3L	18	active	1
chr3L	19	active	1
chr3L	20	active	2
chr3L	21	active	2
chr3L	22	active	2
chr3L	23	active	2
chr3L	24	active	2
chr3L	25	active	2
chr3L	26	neutral	3
chr3L	27	neutral	3
chr3L	28	neutral	3
chr3L	29	neutral	3
chr3L	30	neutral	3
chr3L	31	neutral	3
chr3L	32	active	4
chr3L	33	active	4
chr3L	34	active	4
chr3L	35	active	4
chr3L	36	polycomb	5
chr3L	37	polycomb	5
chr3L	38	polycomb	5
chr3L	39	polycomb	5
chr3L	40	polycomb	5
chr3L	41	polycomb	5
chr3L	42	polycomb	5
chr3L	43	polycomb	5
chr3L	44	neutral	6
chr3L	45	neutral	6
chr3L	46	neutral	6
chr3L	47	neutral	6
chr3L	48	neutral	6
chr3L	49	neutral	6
chr3L	50	neutral	6
chr3L	51	neutral	6
chr3L	52	neutral	6
chr3L	53	neutral	6
chr3L	54	neutral	7
chr3L	55	neutral	7
chr3L	56	neutral	7
chr3L	57	neutral	7
chr3L	58	neutral	7
chr3L	59	neutral	7
chr3L	60	neutral	8
chr3L	61	neutral	8
chr3L	62	neutral	8
chr3L	63	neutral	8
chr3L	64	neutral	8
chr3L	65	neutral	9
chr3L	66	neutral	9
chr3L	67	neutral	9
chr3L	68	neutral	9
chr3L	69	neutral	9
chr3L	70	neutral	9
chr3L	71	neutral	9
chr3L	72	neutral	9
chr3L	73	neutral	9
chr3L	74	neutral	9
chr3L	75	neutral	10
chr3L	76	neutral	10
chr3L	77	neutral	10
chr3L	78	neutral	10
chr3L	79	neutral	10
chr3L	80	neutral	10
chr3L	81	neutral	10
chr3L	82	neutral	10
chr3L	83	active	11
chr3L	84	active	11
chr3L	85	active	11
chr3L	86	active	11
chr3L	87	active	11
chr3L	88	inactive	12
chr3L	89	inactive	12
chr3L	90	inactive	12
chr3L	91	inactive	12
chr3L	92	inactive	12
chr3L	93	inactive	12
chr3L	94	inactive	12
chr3L	95	inactive	12
chr3L	96	inactive	12
chr3L	97	inactive	12
chr3L	98	inactive	12
chr3L	99	inactive	12
chr3L	100	inactive	12
chr3L	101	inactive	12
chr3L	102	inactive	12
chr3L	103	neutral	13
chr3L	104	neutral	13
chr3L	105	neutral	13
chr3L	106	neutral	13
chr3L	107	neutral	13
chr3L	108	neutral	13
chr3L	109	neutral	13
chr3L	110	neutral	13
chr3L	111	neutral	13
chr3L	112	neutral	13
chr3L	113	neutral	13
chr3L	114	neutral	13
chr3L	115	neutral	13
chr3L	116	neutral	13
chr3L	117	neutral	13
chr3L	118	neutral	13
chr3L	119	inactive	14
chr3L	120	inactive	14
chr3L	121	inactive	14
chr3L	122	inactive	14
chr3L	123	inactive	14
chr3L	124	inactive	14
chr3L	125	inactive	14
chr3L	126	inactive	14
chr3L	127	inactive	14
chr3L	128	inactive	14
chr3L	129	inactive	14
chr3L	130	active	15
chr3L	131	active	15
chr3L	132	active	15
chr3L	133	active	15
chr3L	134	active	15
chr3L	135	inactive	16
chr3L	136	inactive	16
chr3L	137	inactive	16
chr3L	138	inactive	16
chr3L	139	inactive	16
chr3L	140	inactive	16
chr3L	141	inactive	16
chr3L	142	inactive	16
chr3L	143	inactive	16
chr3L	144	inactive	16
chr3L	145	inactive	16
chr3L	146	inactive	16
chr3L	147	inactive	16
chr3L	148	inactive	16
chr3L	149	active	17
chr3L	150	active	17
chr3L	151	active	17
chr3L	152	active	17
chr3L	153	active	17
chr3L	154	active	17
chr3L	155	active	17
chr3L	156	active	17
chr3L	157	active	18
chr3L	158	active	18
chr3L	159	active	18
chr3L	160	active	18
chr3L	161	active	18
chr3L	162	active	18
chr3L	163	active	18
chr3L	164	active	18
chr3L	165	active	18
chr3L	166	active	18
chr3L	167	neutral	19
chr3L	168	neutral	19
chr3L	169	neutral	19
chr3L	170	neutral	19
chr3L	171	neutral	19
chr3L	172	neutral	19
chr3L	173	neutral	19
chr3L	174	active	20
chr3L	175	active	20
chr3L	176	active	20
chr3L	177	active	20
chr3L	178	active	20
chr3L	179	active	20
chr3L	180	inactive	21
chr3L	181	inactive	21
chr3L	182	inactive	21
chr3L	183	inactive	21
chr3L	184	inactive	21
chr3L	185	inactive	21
chr3L	186	inactive	21
chr3L	187	inactive	22
chr3L	188	inactive	22
chr3L	189	inactive	22
chr3L	190	inactive	22
chr3L	191	inactive	22
chr3L	192	inactive	22
chr3L	193	inactive	22
chr3L	194	inactive	22
chr3L	195	inactive	22
chr3L	196	inactive	22
chr3L	197	neutral	23
chr3L	198	neutral	23
chr3L	199	neutral	23
chr3L	200	neutral	23
chr3L	201	neutral	23
chr3L	202	neutral	23
chr3L	203	neutral	23
chr3L	204	neutral	23
chr3L	205	neutral	23
chr3L	206	neutral	23
chr3L	207	neutral	23
chr3L	208	neutral	23
chr3L	209	neutral	23
chr3L	210	neutral	23
chr3L	211	neutral	24
chr3L	212	neutral	24
chr3L	213	neutral	24
chr3L	214	neutral	24
chr3L	215	neutral	24
chr3L	216	neutral	24
chr3L	217	neutral	25
chr3L	218	neutral	25
chr3L	219	neutral	25
chr3L	220	neutral	25
chr3L	221	neutral	25
chr3L	222	neutral	25
chr3L	223	neutral	25
chr3L	224	neutral	25
chr3L	225	neutral	26
chr3L	226	neutral	26
chr3L	227	neutral	26
chr3L	228	neutral	26
chr3L	229	neutral	26
chr3L	230	neutral	26
chr3L	231	neutral	26
chr3L	232	neutral	26
chr3L	233	neutral	26
chr3L	234	neutral	26
chr3L	235	neutral	26
chr3L	236	neutral	26
chr3L	237	neutral	26
chr3L	238	neutral	27
chr3L	239	neutral	27
chr3L	240	neutral	27
chr3L	241	neutral	27
chr3L	242	neutral	27
chr3L	243	neutral	27
chr3L	244	neutral	27
chr3L	245	neutral	27
chr3L	246	neutral	27
chr3L	247	neutral	27
chr3L	248	neutral	28
chr3L	249	neutral	28
chr3L	250	neutral	28
chr3L	251	neutral	28
chr3L	252	neutral	28
chr3L	253	neutral	28
chr3L	254	neutral	28
chr3L	255	neutral	28
chr3L	256	neutral	29
chr3L	257	neutral	29
chr3L	258	neutral	29
chr3L	259	neutral	29
chr3L	260	inactive	30
chr3L	261	inactive	30
chr3L	262	inactive	30
chr3L	263	inactive	30
chr3L	264	inactive	30
chr3L	265	inactive	30
chr3L	266	inactive	30
chr3L	267	inactive	30
chr3L	268	inactive	30
chr3L	269	inactive	30
chr3L	270	inactive	30
chr3L	271	neutral	31
chr3L	272	neutral	31
chr3L	273	neutral	31
chr3L	274	neutral	31
chr3L	275	neutral	31
chr3L	276	neutral	31
chr3L	277	neutral	31
chr3L	278	neutral	32
chr3L	279	neutral	32
chr3L	280	neutral	32
chr3L	281	neutral	32
chr3L	282	neutral	32
chr3L	283	neutral	32
chr3L	284	neutral	32
chr3L	285	neutral	32
chr3L	286	neutral	32
chr3L	287	neutral	32
chr3L	288	inactive	33
chr3L	289	inactive	33
chr3L	290	inactive	33
chr3L	291	inactive	33
chr3L	292	inactive	33
chr3L	293	inactive	33
chr3L	294	inactive	33
chr3L	295	inactive	33
chr3L	296	inactive	33
chr3L	297	inactive	33
chr3L	298	inactive	33
chr3L	299	inactive	33
chr3L	300	inactive	33
chr3L	301	inactive	33
chr3L	302	inactive	33
chr3L	303	inactive	33
chr3L	304	neutral	.
chr3L	305	neutral	.
chr3L	306	neutral	.
chr3L	307	neutral	34
chr3L	308	neutral	34
chr3L	309	neutral	34
chr3L	310	neutral	34
chr3L	311	neutral	34
chr3L	312	neutral	34
chr3L	313	neutral	34
chr3L	314	neutral	34
chr3L	315	active	35
chr3L	316	active	35
chr3L	317	active	35
chr3L	318	active	35
chr3L	319	active	35
chr3L	320	active	35
chr3L	321	active	35
chr3L	322	active	35
chr3L	323	active	35
chr3L	324	inactive	36
chr3L	325	inactive	36
chr3L	326	inactive	36
chr3L	327	inactive	36
chr3L	328	inactive	36
chr3L	329	inactive	36
chr3L	330	inactive	36
chr3L	331	inactive	36
chr3L	332	active	37
chr3L	333	active	37
chr3L	334	active	37
chr3L	335	active	37
chr3L	336	active	37
chr3L	337	active	37
chr3L	338	neutral	38
chr3L	339	neutral	38
chr3L	340	neutral	38
chr3L	341	neutral	38
chr3L	342	neutral	38
chr3L	343	neutral	38
chr3L	344	neutral	38
chr3L	345	neutral	38
chr3L	346	neutral	38
chr3L	347	neutral	39
chr3L	348	neutral	39
chr3L	349	neutral	39
chr3L	350	neutral	39
chr3L	351	neutral	39
chr3L	352	neutral	39
chr3L	353	neutral	39
chr3L	354	neutral	39
chr3L	355	neutral	39
chr3L	356	neutral	39
chr3L	357	neutral	.
chr3L	358	neutral	40
chr3L	359	neutral	40
chr3L	360	neutral	40
chr3L	361	neutral	40
chr3L	362	inactive	41
chr3L	363	inactive	41
chr3L	364	inactive	41
chr3L	365	inactive	41
chr3L	366	inactive	41
chr3L	367	inactive	41
chr3L	368	inactive	41
chr3L	369	inactive	41
chr3L	370	inactive	41
chr3L	371	inactive	41
chr3L	372	inactive	41
chr3L	373	inactive	41
chr3L	374	inactive	41
chr3L	375	inactive	41
chr3L	376	inactive	41
chr3L	377	neutral	42
chr3L	378	neutral	42
chr3L	379	neutral	42
chr3L	380	neutral	42
chr3L	381	neutral	43
chr3L	382	neutral	43
chr3L	383	neutral	43
chr3L	384	neutral	43
chr3L	385	neutral	43
chr3L	386	neutral	43
chr3L	387	neutral	43
chr3L	388	neutral	43
chr3L	389	neutral	43
chr3L	390	neutral	44
chr3L	391	neutral	44
chr3L	392	neutral	44
chr3L	393	neutral	44
chr3L	394	neutral	44
chr3L	395	neutral	44
chr3L	396	neutral	44
chr3L	397	neutral	44
chr3L	398	neutral	44
chr3L	399	neutral	44
chr3L	400	neutral	44
chr3L	401	neutral	44
chr3L	402	inactive	45
chr3L	403	inactive	45
chr3L	404	inactive	45
chr3L	405	inactive	45
chr3L	406	inactive	45
chr3L	407	inactive	45
chr3L	408	inactive	45
chr3L	409	inactive	45
chr3L	410	active	46
chr3L	411	active	46
chr3L	412	active	46
chr3L	413	active	46
chr3L	414	neutral	47
chr3L	415	neutral	47
chr3L	416	neutral	47
chr3L	417	neutral	47
chr3L	418	neutral	47
chr3L	419	neutral	47
chr3L	420	neutral	47
chr3L	421	neutral	47
chr3L	422	neutral	47
chr3L	423	neutral	47
chr3L	424	inactive	48
chr3L	425	inactive	48
chr3L	426	inactive	48
chr3L	427	inactive	48
chr3L	428	inactive	48
chr3L	429	inactive	48
chr3L	430	inactive	48
chr3L	431	neutral	49
chr3L	432	neutral	49
chr3L	433	neutral	49
chr3L	434	neutral	49
chr3L	435	neutral	49
chr3L	436	neutral	49
chr3L	437	neutral	49
chr3L	438	neutral	49
chr3L	439	neutral	49
chr3L	440	inactive	50
chr3L	441	inactive	50
chr3L	442	inactive	50
chr3L	443	inactive	50
chr3L	444	inactive	50
chr3L	445	neutral	.
chr3L	446	inactive	51
chr3L	447	inactive	51
chr3L	448	inactive	51
chr3L	449	inactive	51
chr3L	450	inactive	51
chr3L	451	inactive	51
chr3L	452	inactive	51
chr3L	453	inactive	51
chr3L	454	inactive	51
chr3L	455	neutral	52
chr3L	456	neutral	52
chr3L	457	neutral	52
chr3L	458	neutral	52
chr3L	459	neutral	52
chr3L	460	neutral	52
chr3L	461	neutral	52
chr3L	462	neutral	52
chr3L	463	inactive	53
chr3L	464	inactive	53
chr3L	465	inactive	53
chr3L	466	inactive	53
chr3L	467	inactive	53
chr3L	468	inactive	53
chr3L	469	inactive	53
chr3L	470	inactive	53
chr3L	471	inactive	53
chr3L	472	inactive	53
chr3L	473	inactive	53
chr3L	474	inactive	53
chr3L	475	inactive	53
chr3L	476	inactive	53
chr3L	477	inactive	53
chr3L	478	inactive	53
chr3L	479	inactive	53
chr3L	480	neutral	.
chr3L	481	neutral	.
chr3L	482	neutral	.
chr3L	483	inactive	54
chr3L	484	inactive	54
chr3L	485	inactive	54
chr3L	486	inactive	54
chr3L	487	inactive	54
chr3L	488	inactive	54
chr3L	489	neutral	55
chr3L	490	neutral	55
chr3L	491	neutral	55
chr3L	492	neutral	55
chr3L	493	neutral	55
chr3L	494	neutral	55
chr3L	495	neutral	55
chr3L	496	neutral	55
chr3L	497	neutral	55
chr3L	498	neutral	55
chr3L	499	neutral	55
chr3L	500	neutral	55
chr3L	501	neutral	55
chr3L	502	neutral	55
chr3L	503	neutral	.
chr3L	504	neutral	.
chr3L	505	inactive	56
chr3L	506	inactive	56
chr3L	507	inactive	56
chr3L	508	inactive	56
chr3L	509	inactive	56
chr3L	510	inactive	56
chr3L	511	inactive	56
chr3L	512	inactive	56
chr3L	513	neutral	57
chr3L	514	neutral	57
chr3L	515	neutral	57
chr3L	516	neutral	57
chr3L	517	neutral	57
chr3L	518	neutral	58
chr3L	519	neutral	58
chr3L	520	neutral	58
chr3L	521	neutral	58
chr3L	522	neutral	58
chr3L	523	neutral	58
chr3L	524	neutral	58
