ch	bin	state	ntad
chr3R	0	neutral	0
chr3R	1	neutral	0
chr3R	2	neutral	0
chr3R	3	neutral	0
chr3R	4	neutral	0
chr3R	5	neutral	1
chr3R	6	neutral	1
chr3R	7	neutral	1
chr3R	8	neutral	1
chr3R	9	neutral	1
chr3R	10	neutral	1
chr3R	11	neutral	1
chr3R	12	neutral	1
chr3R	13	neutral	2
chr3R	14	neutral	2
chr3R	15	neutral	2
chr3R	16	neutral	2
chr3R	17	neutral	2
chr3R	18	neutral	2
chr3R	19	neutral	.
chr3R	20	active	3
chr3R	21	active	3
chr3R	22	active	3
chr3R	23	active	3
chr3R	24	active	3
chr3R	25	active	3
chr3R	26	active	3
chr3R	27	active	3
chr3R	28	active	3
chr3R	29	active	3
chr3R	30	active	3
chr3R	31	neutral	4
chr3R	32	neutral	4
chr3R	33	neutral	4
chr3R	34	neutral	4
chr3R	35	neutral	4
chr3R	36	neutral	4
chr3R	37	neutral	4
chr3R	38	neutral	4
chr3R	39	neutral	4
chr3R	40	neutral	4
chr3R	41	neutral	4
chr3R	42	neutral	4
chr3R	43	neutral	4
chr3R	44	neutral	4
chr3R	45	neutral	4
chr3R	46	neutral	4
chr3R	47	neutral	5
chr3R	48	neutral	5
chr3R	49	neutral	5
chr3R	50	neutral	5
chr3R	51	neutral	5
chr3R	52	neutral	5
chr3R	53	neutral	5
chr3R	54	neutral	5
chr3R	55	neutral	5
chr3R	56	neutral	5
chr3R	57	neutral	5
chr3R	58	neutral	.
chr3R	59	active	6
chr3R	60	active	6
chr3R	61	active	6
chr3R	62	active	6
chr3R	63	active	6
chr3R	64	active	6
chr3R	65	polycomb	7
chr3R	66	polycomb	7
chr3R	67	polycomb	7
chr3R	68	polycomb	7
chr3R	69	polycomb	7
chr3R	70	polycomb	7
chr3R	71	polycomb	7
chr3R	72	polycomb	7
chr3R	73	polycomb	7
chr3R	74	active	8
chr3R	75	active	8
chr3R	76	active	8
chr3R	77	active	8
chr3R	78	active	8
chr3R	79	neutral	9
chr3R	80	neutral	9
chr3R	81	neutral	9
chr3R	82	neutral	9
chr3R	83	neutral	9
chr3R	84	neutral	9
chr3R	85	neutral	9
chr3R	86	neutral	9
chr3R	87	neutral	9
chr3R	88	neutral	9
chr3R	89	neutral	9
chr3R	90	neutral	9
chr3R	91	neutral	9
chr3R	92	neutral	9
chr3R	93	neutral	9
chr3R	94	neutral	9
chr3R	95	neutral	10
chr3R	96	neutral	10
chr3R	97	neutral	10
chr3R	98	neutral	10
chr3R	99	neutral	10
chr3R	100	neutral	10
chr3R	101	neutral	10
chr3R	102	neutral	10
chr3R	103	neutral	10
chr3R	104	neutral	10
chr3R	105	neutral	11
chr3R	106	neutral	11
chr3R	107	neutral	11
chr3R	108	neutral	11
chr3R	109	neutral	11
chr3R	110	neutral	11
chr3R	111	neutral	11
chr3R	112	neutral	12
chr3R	113	neutral	12
chr3R	114	neutral	12
chr3R	115	neutral	12
chr3R	116	neutral	12
chr3R	117	neutral	12
chr3R	118	neutral	12
chr3R	119	inactive	13
chr3R	120	inactive	13
chr3R	121	inactive	13
chr3R	122	inactive	13
chr3R	123	inactive	13
chr3R	124	inactive	13
chr3R	125	inactive	13
chr3R	126	inactive	13
chr3R	127	inactive	13
chr3R	128	inactive	13
chr3R	129	neutral	14
chr3R	130	neutral	14
chr3R	131	neutral	14
chr3R	132	neutral	14
chr3R	133	neutral	14
chr3R	134	neutral	14
chr3R	135	active	15
chr3R	136	active	15
chr3R	137	active	15
chr3R	138	active	15
chr3R	139	active	15
chr3R	140	active	15
chr3R	141	active	15
chr3R	142	active	16
chr3R	143	active	16
chr3R	144	active	16
chr3R	145	active	16
chr3R	146	active	16
chr3R	147	active	16
chr3R	148	active	16
chr3R	149	neutral	17
chr3R	150	neutral	17
chr3R	151	neutral	17
chr3R	152	neutral	17
chr3R	153	neutral	17
chr3R	154	neutral	17
chr3R	155	neutral	17
chr3R	156	active	18
chr3R	157	active	18
chr3R	158	active	18
chr3R	159	active	18
chr3R	160	active	18
chr3R	161	active	19
chr3R	162	active	19
chr3R	163	active	19
chr3R	164	active	19
chr3R	165	active	19
chr3R	166	active	19
chr3R	167	active	19
chr3R	168	active	19
chr3R	169	neutral	20
chr3R	170	neutral	20
chr3R	171	neutral	20
chr3R	172	neutral	20
chr3R	173	neutral	20
chr3R	174	neutral	20
chr3R	175	neutral	20
chr3R	176	neutral	20
chr3R	177	neutral	20
chr3R	178	neutral	20
chr3R	179	neutral	20
chr3R	180	neutral	20
chr3R	181	neutral	20
chr3R	182	neutral	20
chr3R	183	neutral	20
chr3R	184	neutral	.
chr3R	185	neutral	21
chr3R	186	neutral	21
chr3R	187	neutral	21
chr3R	188	neutral	21
chr3R	189	neutral	21
chr3R	190	neutral	21
chr3R	191	neutral	21
chr3R	192	neutral	21
chr3R	193	neutral	21
chr3R	194	neutral	21
chr3R	195	neutral	21
chr3R	196	neutral	21
chr3R	197	neutral	21
chr3R	198	neutral	21
chr3R	199	neutral	21
chr3R	200	neutral	.
chr3R	201	neutral	22
chr3R	202	neutral	22
chr3R	203	neutral	22
chr3R	204	neutral	22
chr3R	205	neutral	22
chr3R	206	neutral	22
chr3R	207	neutral	22
chr3R	208	neutral	22
chr3R	209	neutral	22
chr3R	210	neutral	22
chr3R	211	neutral	22
chr3R	212	neutral	22
chr3R	213	neutral	22
chr3R	214	neutral	22
chr3R	215	neutral	22
chr3R	216	neutral	22
chr3R	217	active	23
chr3R	218	active	23
chr3R	219	active	23
chr3R	220	active	23
chr3R	221	active	23
chr3R	222	neutral	24
chr3R	223	neutral	24
chr3R	224	neutral	24
chr3R	225	neutral	24
chr3R	226	neutral	24
chr3R	227	neutral	24
chr3R	228	neutral	25
chr3R	229	neutral	25
chr3R	230	neutral	25
chr3R	231	neutral	25
chr3R	232	neutral	25
chr3R	233	neutral	.
chr3R	234	neutral	26
chr3R	235	neutral	26
chr3R	236	neutral	26
chr3R	237	neutral	26
chr3R	238	neutral	26
chr3R	239	neutral	26
chr3R	240	neutral	26
chr3R	241	neutral	26
chr3R	242	neutral	26
chr3R	243	neutral	26
chr3R	244	neutral	26
chr3R	245	neutral	26
chr3R	246	neutral	26
chr3R	247	polycomb	27
chr3R	248	polycomb	27
chr3R	249	polycomb	27
chr3R	250	polycomb	27
chr3R	251	polycomb	27
chr3R	252	polycomb	27
chr3R	253	polycomb	28
chr3R	254	polycomb	28
chr3R	255	polycomb	28
chr3R	256	polycomb	28
chr3R	257	polycomb	28
chr3R	258	polycomb	28
chr3R	259	polycomb	28
chr3R	260	polycomb	28
chr3R	261	polycomb	28
chr3R	262	polycomb	28
chr3R	263	polycomb	28
chr3R	264	polycomb	29
